nr,book,folder,chapters,Size (Bytes),Length (Seconds),Length (min),Length (hours),kByte/min
1,Genesis,01_Ge,50,130663633,16092,268,4.47,476
2,Exodus,02_Ex,40,103623806,12761,213,3.54,476
3,Leviticus,03_Le,27,72524391,8927,149,2.48,476
4,Numbers,04_Nu,36,103267225,12721,212,3.53,476
5,Deuteronomy,05_De,34,87427502,10747,179,2.99,477
6,Joshua,06_Jos,24,56807750,6980,116,1.94,477
7,Judges,07_Jg,21,59701108,7356,123,2.04,476
8,Ruth,08_Ru,4,8858805,1088,18,0.3,477
9,1 Samuel,09_1Sa,31,78878308,9701,162,2.69,476
10,2 Samuel,10_2Sa,24,64466741,7936,132,2.2,476
11,1 Kings,11_1Ki,22,78765482,9732,162,2.7,474
12,2 Kings,12_2Ki,25,75483449,9307,155,2.59,475
13,1 Chronicles,13_1Ch,29,71406860,8772,146,2.44,477
14,2 Chronicles,14_2Ch,36,83961239,10303,172,2.86,477
15,Ezra,15_Ezr,10,24177357,2973,50,0.83,477
16,Nehemiah,16_Ne,13,24763741,4044,67,1.12,359
17,Esther,17_Es,10,13001433,2105,35,0.58,362
18,Job,18_Job,42,51848679,8384,140,2.33,362
19,Psalms,19_Ps,150,139508015,22289,371,6.19,367
20,Proverbs,20_Pr,31,48388136,7862,131,2.18,361
21,Ecclesiastes,21_Ec,12,15719718,2541,42,0.71,362
22,Song of Solomon,22_Ca,8,8067916,1290,21,0.36,367
23,Isaiah,23_Isa,66,99733587,16210,270,4.5,361
24,Jeremiah,24_Jer,52,106171687,17361,289,4.82,358
25,Lamentations,25_La,5,9761100,1594,27,0.44,359
26,Ezekiel,26_Eze,48,92339772,15087,251,4.19,359
27,Daniel,27_Da,12,31255234,5135,86,1.43,357
28,Hosea,28_Ho,14,14629875,2352,39,0.65,365
29,Joel,29_Joe,3,5331017,870,15,0.24,359
30,Amos,30_Am,9,11065773,1789,30,0.5,362
31,Obadiah,31_Ob,1,1791846,292,5,0.08,359
32,Jonah,32_Jon,4,4485331,542,9,0.15,485
33,Micah,33_Mic,7,10167538,1651,28,0.46,361
34,Nahum,34_Na,3,4255397,691,12,0.19,361
35,Habakkuk,35_Hab,3,4061564,658,11,0.18,362
36,Zephaniah,36_Zep,3,4388793,712,12,0.2,361
37,Haggai,37_Hag,2,2834221,460,8,0.13,361
38,Zechariah,38_Zec,14,16188827,2608,43,0.72,364
39,Malachi,39_Mal,4,4824739,779,13,0.22,363
40,Matthew,40_Mt,28,62561253,10248,171,2.85,358
41,Mark,41_Mr,16,42550899,6993,117,1.94,357
42,Luke,42_Lu,24,68342700,11244,187,3.12,356
43,John,43_Joh,21,52239783,8578,143,2.38,357
44,Acts,44_Ac,28,61972145,10156,169,2.82,358
45,Romans,45_Ro,16,25894355,4214,70,1.17,360
46,1 Corinthians,46_1Co,16,25495109,4143,69,1.15,361
47,2 Corinthians,47_2Co,13,16453760,2656,44,0.74,363
48,Galatians,48_Ga,6,9153829,1487,25,0.41,361
49,Ephesians,49_Eph,6,8591467,1393,23,0.39,361
50,Philippians,50_Php,4,6089689,989,16,0.27,361
51,Colossians,51_Col,4,5612512,909,15,0.25,362
52,1 Thessalonians,52_1Th,5,5152869,825,14,0.23,366
53,2 Thessalonians,53_2Th,3,2916945,466,8,0.13,367
54,1 Timothy,54_1Ti,6,6892906,1111,19,0.31,364
55,2 Timothy,55_2Ti,4,4821413,778,13,0.22,363
56,Titus,56_Tit,3,2876595,461,8,0.13,365
57,Philemon,57_Phm,1,1186756,192,3,0.05,363
58,Hebrews,58_Heb,13,18641887,3024,50,0.84,361
59,James,59_Jas,5,6964179,1130,19,0.31,361
60,1 Peter,60_1Pe,5,6948537,1127,19,0.31,361
61,2 Peter,61_2Pe,3,4349411,706,12,0.2,361
62,1 John,62_1Jo,5,7767612,1264,21,0.35,360
63,2 John,63_2Jo,1,923094,148,2,0.04,366
64,3 John,64_3Jo,1,1003788,161,3,0.04,365
65,Jude,65_Jude,1,1929594,316,5,0.09,358
66,Revelation,66_Re,22,35065053,5701,95,1.58,360
99,sum,bible_en,1189,2316995735,333123,5552,92.53,408
