nr,book,folder,chapters,Size (Bytes),Length (Seconds),Length (min),Length (hours),kByte/min
1,Genesis,,,,,0,0,#DIV/0!
2,Exodus,,,,,0,0,#DIV/0!
3,Leviticus,,,,,0,0,#DIV/0!
4,Numbers,,,,,0,0,#DIV/0!
5,Deuteronomy,,,,,0,0,#DIV/0!
6,Joshua,,,,,0,0,#DIV/0!
7,Judges,,,,,0,0,#DIV/0!
8,Ruth,,,,,0,0,#DIV/0!
9,1 Samuel,,,,,0,0,#DIV/0!
10,2 Samuel,,,,,0,0,#DIV/0!
11,1 Kings,,,,,0,0,#DIV/0!
12,2 Kings,,,,,0,0,#DIV/0!
13,1 Chronicles,13_1Ch,29,73836222,9075,151,2.52,477
14,2 Chronicles,,,,,0,0,#DIV/0!
15,Ezra,15_Ezr,10,24511719,3015,50,0.84,476
16,Nehemiah,16_Ne,13,37439159,4613,77,1.28,476
17,Esther,17_Es,10,18122019,2216,37,0.62,479
18,Job,18_Job,42,59606851,7247,121,2.01,482
19,Psalms,,,,,0,0,#DIV/0!
20,Proverbs,20_Pr,31,57191028,6988,116,1.94,480
21,Ecclesiastes,21_Ec,12,18295071,2224,37,0.62,482
22,Song of Solomon,22_Ca,8,9491106,1144,19,0.32,486
23,Isaiah,,,,,0,0,#DIV/0!
24,Jeremiah,,,,,0,0,#DIV/0!
25,Lamentations,,,,,0,0,#DIV/0!
26,Ezekiel,,,,,0,0,#DIV/0!
27,Daniel,,,,,0,0,#DIV/0!
28,Hosea,28_Ho,14,18091737,2193,37,0.61,483
29,Joel,29_Joe,3,6552362,804,13,0.22,477
30,Amos,30_Am,9,13383146,1629,27,0.45,481
31,Obadiah,31_Ob,1,2206333,271,5,0.08,477
32,Jonah,32_Jon,4,4334172,523,9,0.15,486
33,Micah,33_Mic,7,10426187,1270,21,0.35,481
34,Nahum,,,,,0,0,#DIV/0!
35,Habakkuk,,,,,0,0,#DIV/0!
36,Zephaniah,,,,,0,0,#DIV/0!
37,Haggai,37_Hag,2,3844169,471,8,0.13,479
38,Zechariah,,,,,0,0,#DIV/0!
39,Malachi,,,,,0,0,#DIV/0!
40,Matthew,,,,,0,0,#DIV/0!
41,Mark,,,,,0,0,#DIV/0!
42,Luke,,,,,0,0,#DIV/0!
43,John,,,,,0,0,#DIV/0!
44,Acts,,,,,0,0,#DIV/0!
45,Romans,,,,,0,0,#DIV/0!
46,1 Corinthians,,,,,0,0,#DIV/0!
47,2 Corinthians,,,,,0,0,#DIV/0!
48,Galatians,,,,,0,0,#DIV/0!
49,Ephesians,,,,,0,0,#DIV/0!
50,Philippians,,,,,0,0,#DIV/0!
51,Colossians,,,,,0,0,#DIV/0!
52,1 Thessalonians,,,,,0,0,#DIV/0!
53,2 Thessalonians,,,,,0,0,#DIV/0!
54,1 Timothy,,,,,0,0,#DIV/0!
55,2 Timothy,,,,,0,0,#DIV/0!
56,Titus,,,,,0,0,#DIV/0!
57,Philemon,,,,,0,0,#DIV/0!
58,Hebrews,,,,,0,0,#DIV/0!
59,James,,,,,0,0,#DIV/0!
60,1 Peter,,,,,0,0,#DIV/0!
61,2 Peter,,,,,0,0,#DIV/0!
62,1 John,,,,,0,0,#DIV/0!
63,2 John,,,,,0,0,#DIV/0!
64,3 John,,,,,0,0,#DIV/0!
65,Jude,,,,,0,0,#DIV/0!
66,Revelation,,,,,0,0,#DIV/0!
99,sum,bible_vi,195,357331281,43682,728,12.13,479
