Folder,Files,Size,Size (Bytes),Length (Seconds)
01_Ge,50,124.61 MB,130663633,16092.031999999997
15_Ezr,10,17.37 MB,18217753,2975.181333333333
16_Ne,13,23.62 MB,24763741,4044.3733333333334
17_Es,10,12.40 MB,13001433,2104.5813333333335
18_Job,42,49.45 MB,51848679,8383.976
19_Ps,150,133.05 MB,139508015,22288.975999999984
20_Pr,31,46.15 MB,48388136,7862.3893333333335
21_Ec,12,14.99 MB,15719718,2540.944
22_Ca,8,7.69 MB,8067916,1289.8106666666667
23_Isa,66,95.11 MB,99733587,16209.784000000001
24_Jer,52,101.25 MB,106171687,17360.741333333335
25_La,5,9.31 MB,9761100,1593.9226666666666
26_Eze,41,78.09 MB,81881190,13387.618666666667
27_Da,12,29.81 MB,31255234,5134.888000000001
28_Ho,14,13.95 MB,14629875,2351.6026666666667
29_Joe,3,5.08 MB,5331017,870.376
30_Am,9,10.55 MB,11065773,1788.6960000000001
31_Ob,1,1.71 MB,1791846,292.46133333333336
32_Jon,4,3.38 MB,3547612,566.7493333333334
33_Mic,7,9.70 MB,10167538,1651.3733333333334
34_Na,3,4.06 MB,4255397,690.7360000000001
35_Hab,3,3.87 MB,4061564,657.616
36_Zep,3,4.19 MB,4388793,712.288
37_Hag,2,2.70 MB,2834221,459.8826666666667
38_Zec,14,15.44 MB,16188827,2608.3306666666667
39_Mal,4,4.60 MB,4824739,779.0293333333333
40_Mt,28,59.66 MB,62561253,10248.141333333333
41_Mr,16,40.58 MB,42550899,6992.861333333333
42_Lu,24,65.18 MB,68342700,11244.224
43_Joh,21,49.82 MB,52239783,8577.591999999999
44_Ac,28,59.10 MB,61972145,10155.909333333333
45_Ro,16,24.69 MB,25894355,4213.637333333334
46_1Co,16,24.31 MB,25495109,4142.909333333334
47_2Co,13,15.69 MB,16453760,2655.685333333333
48_Ga,6,8.73 MB,9153829,1487.192
49_Eph,6,8.19 MB,8591467,1393.496
50_Php,4,5.81 MB,6089689,989.1013333333333
51_Col,2,2.27 MB,2383234,384.06666666666666
52_1Th,5,4.91 MB,5152869,824.8906666666666
53_2Th,3,2.78 MB,2916945,465.808
54_1Ti,6,6.57 MB,6892906,1111.088
55_2Ti,4,4.60 MB,4821413,778.4773333333334
56_Tit,3,2.74 MB,2876595,461.176
57_Phm,1,1.13 MB,1186756,191.56533333333334
58_Heb,13,17.78 MB,18641887,3023.869333333334
59_Jas,5,6.64 MB,6964179,1129.9306666666666
60_1Pe,5,6.63 MB,6948537,1127.2426666666668
61_2Pe,3,4.15 MB,4349411,706.384
62_1Jo,5,7.41 MB,7767612,1263.8746666666666
63_2Jo,1,901.46 KB,923094,147.78933333333333
64_3Jo,1,980.26 KB,1003788,161.22933333333333
65_Jude,1,1.84 MB,1929594,315.6453333333333
66_Re,22,33.44 MB,35065053,5701.117333333334
