Folder,Files,Size,Size (Bytes),Length (Seconds)
13_1Ch,29,70.42 MB,73836222,9075.154833333334
15_Ezr,10,23.38 MB,24511719,3015.0399999999995
16_Ne,13,35.70 MB,37439159,4613.008
17_Es,10,17.28 MB,18122019,2216.2239999999997
18_Job,42,56.85 MB,59606851,7247.0273333333325
20_Pr,31,54.54 MB,57191028,6987.632270833335
21_Ec,12,17.45 MB,18295071,2224.4168333333337
22_Ca,8,9.05 MB,9491106,1143.50125
28_Ho,14,17.25 MB,18091737,2193.082020833333
29_Joe,3,6.25 MB,6552362,804.3844166666667
30_Am,9,12.76 MB,13383146,1628.9735
31_Ob,1,2.10 MB,2206333,270.81
32_Jon,4,4.13 MB,4334172,522.515
33_Mic,7,9.94 MB,10426187,1269.544
37_Hag,2,3.67 MB,3844169,470.672
